source_name,ra_j2000_deg,dec_j2000_deg,ra_b1950_hms,ra_b1950_err_s,dec_b1950_dms,dec_b1950_err_arcmin,flux_178mhz_jy,flux_178mhz_note,diam_limit,diam_value,diam_unit,diam_arcmin,ra_icrs_hms,dec_icrs_dms,vizier_recno
3C416.1,308.7577,47.04016,20 33 24.0,36,+46 52.0,6,60,,,40,',40,20 35 01.8,+47 02 25,291
3C416.2,308.94769,41.72414,20 34 00.0,36,+41 33.0,18,160,,,40,',40,20 35 47.4,+41 43 27,292
3C418,309.653,51.29527,20 37 07.1,3,+51 07.1,3,12.5,*,<,3,"""",0.05,20 38 36.7,+51 17 43,293
3C419.1,310.22246,42.27893,20 39 06.0,30,+42 06.0,60,74,,,45,',45,20 40 53.4,+42 16 44,294
3C424,312.05031,7.07536,20 45 44.4,5,+06 53.4,5,12.5,*,<,40,"""",0.66666667,20 48 12.1,+07 04 31,295
3C427.1,316.126,76.80094,21 05 12.0,30,+76 36.0,45,23,,<,2,',2,21 04 30.2,+76 48 03,296
3C428,317.10664,49.56824,21 06 45.2,3,+49 21.9,3,19,,<,2.5,',2.5,21 08 25.6,+49 34 06,297
3C430,319.55558,60.79466,21 16 57.0,5,+60 35.0,3,29,,<,1.8,',1.8,21 18 13.3,+60 47 41,298
3C431,319.73149,49.57172,21 17 12.5,3,+49 21.6,3,21,,<,1.5,',1.5,21 18 55.6,+49 34 18,299
3C432,320.69572,17.08785,21 20 26.2,3,+16 52.4,5,11.5,*,<,40,"""",0.66666667,21 22 47.0,+17 05 16,300
3C433,320.94226,25.09364,21 21 32.1,1,+24 52.7,1,52,,<,30,"""",0.5,21 23 46.1,+25 05 37,301
3C434,321.02797,16.0322,21 21 45.0,8,+15 49.0,12,10.5,,<,3.5,',3.5,21 24 06.7,+16 01 56,302
3C434.1,321.19219,52.01627,21 23 06.0,12,+51 48.0,60,23,,,,,,21 24 46.1,+52 00 59,303
3C435,322.28048,7.6693,21 26 39.0,5,+07 27.0,10,9.5,*,<,40,"""",0.66666667,21 29 07.3,+07 40 09,304
3C435.1,322.70788,84.62305,21 35 12.0,30,+84 24.0,45,12,,<,3,',3,21 30 49.9,+84 37 23,305
