RAJ2000,DEJ2000,Vmag,
0.55349167,44.42825278,8.6,
0.56032083,-11.96405278,8.91,
0.56645833,-27.13472222,7.974,
0.5696125,-13.40748889,6.903,
0.5709625,-9.17498056,8.53,
0.57354167,60.70310833,6.73,
0.58105833,52.5864,8.6,
0.58309583,-29.72036944,5.02,
0.58985,11.00620556,8.477,
0.59,10.78538889,8.53,
0.6005375,8.95692222,6.323,
0.60217917,-6.05924167,8.9,
0.602725,6.33311667,8.6,
0.60539167,54.13508889,9.7,
0.60557917,10.77646667,8.74,
0.61295833,-46.02875,12.43,
0.61991667,8.39384167,8.22,
0.6216,-39.21268056,9.5,
0.623775,8.48548056,5.697,
0.625925,47.42292222,7.624,
0.62713333,51.82995278,9.3,
0.6322625,42.14776667,9.006,
0.63277917,15.33519167,8.8,
0.63464167,16.25668889,7.2,
0.63543333,-33.992675,10.21,
0.63912083,18.68330833,8.5,
0.64165417,54.55216389,8.62,
0.642375,-15.8312,9.178,
0.6452875,-43.94793333,8.68,
0.64558333,-5.18661944,8.7,
0.64654167,18.83596944,8.63,
0.64933333,66.09916667,5.866,
0.65017917,-67.63430833,9.4,
0.659875,66.10061111,7.333,
0.66225833,-8.48781111,9.05,
0.66327083,-37.94778611,9.5,
0.66323333,-29.07523056,9.94,
0.66703333,51.472525,7.724,
0.668825,28.54204444,8.16,
0.67409583,75.036,9.5,
0.67683333,42.92071111,7.88,
0.67755417,82.97319167,7.2,
0.67944167,-57.63361944,8.3,
0.69039167,6.034425,9.3,
0.69170833,35.81552778,7.52,
0.69279167,80.28233333,7.737,
0.6945375,-40.98331389,8.9,
0.69645,2.12993889,7.171,
0.69632083,3.86039444,8.987,
0.70025,-15.04055556,8.7,
0.70038333,-24.94520556,10.8,
0.70375,80.28663889,9.96,
0.71005833,28.25164167,8.3,
0.71438333,47.25219722,8,
0.715875,30.33658056,8.389,
0.72409583,-58.78142778,9.7,
0.72989583,-30.14966944,8.43,
0.73216667,71.35844444,7.9,
0.73314167,70.23813056,9.9,
0.73654167,71.36811111,9.5,
12.86041667,-10.88740833,10.9,
0.73770833,-0.89391667,8.157,
0.73925833,-39.52753333,9.12,
0.73953333,-20.04589722,6.246,
0.743525,3.38189167,8.6,
0.7436375,9.79533889,10.3,
0.75202083,9.13823333,8.79,
0.75190833,-34.74419444,7.76,
0.75333333,-60.69196111,7.8,
0.75887083,39.99514444,7.903,
0.76365,-7.81555278,8.54,
0.76514583,56.73316944,9.73,
0.7655,8.26152778,8.6,
0.76570833,8.27088889,8.1,
0.77419583,31.87006111,8.71,
0.77431667,52.46519722,8.14,
0.77535,-25.26125556,8.68,
0.77966667,29.48591667,10.73,
0.78267083,-24.14510833,6.448,
0.78470417,42.74806944,6.7,
0.79468333,-24.58833889,7.964,
0.79684167,54.51578056,9.8,
0.80309583,-31.21249167,8.86,
0.80537917,17.55227222,6.57,
0.80594167,48.72224167,8.6,
0.81724167,-55.40486111,9.8,
0.82056667,-23.61540833,9.15,
0.82580833,32.84578333,9.1,
0.829375,4.68736111,12.04,
0.83227083,38.24396667,9.1,
0.8353,-64.47618889,9.1,
0.83533333,-11.94547222,8.114,
0.83535833,-4.14571667,8.088,
0.84177917,59.07865833,8.4,
0.8419625,23.574925,9.2,
0.84969583,73.17465833,7.6,
0.8529375,-35.96513611,9.158,
0.85545833,-26.41511111,8.2,
0.85695,-46.83116389,11.141,
